timeframe,trade_index,timestamp,equity,return_pct,series_id,option_type
5m,80,2025-07-17T15:05:00+05:30,0.0,30.0,NIFTY|weekly|2025-07-17,PE
5m,81,2025-07-17T15:30:00+05:30,0.0,-99.9829,NIFTY|weekly|2025-07-17,CE
5m,82,2025-07-18T09:20:00+05:30,0.0,30.0,SENSEX|weekly|2025-07-22,PE
5m,83,2025-07-18T09:45:00+05:30,0.0,30.0,NIFTY|weekly|2025-07-24,PE
5m,84,2025-07-21T09:50:00+05:30,0.0,30.0,SENSEX|monthly|2025-08-26,PE
5m,85,2025-07-22T15:30:00+05:30,0.0,-99.9938,SENSEX|weekly|2025-07-22,CE
5m,86,2025-07-22T15:30:00+05:30,0.0,-31.6146,SENSEX|weekly|2025-07-22,PE
5m,87,2025-07-22T15:30:00+05:30,0.0,1.858,SENSEX|weekly|2025-07-22,PE
5m,88,2025-07-24T12:00:00+05:30,0.0,30.0,SENSEX|weekly|2025-08-05,PE
5m,89,2025-07-24T15:30:00+05:30,0.0,-99.8907,NIFTY|weekly|2025-07-24,CE
5m,90,2025-07-24T15:30:00+05:30,0.0,-20.363,NIFTY|weekly|2025-07-24,PE
5m,91,2025-07-24T15:30:00+05:30,0.0,-97.5,NIFTY|weekly|2025-07-24,CE
5m,92,2025-07-24T15:30:00+05:30,0.0,0.366,NIFTY|weekly|2025-07-24,PE
5m,93,2025-07-25T09:15:00+05:30,0.0,30.0,SENSEX|weekly|2025-08-05,PE
5m,94,2025-07-25T09:15:00+05:30,0.0,30.0,NIFTY|weekly|2025-08-07,PE
5m,95,2025-07-25T09:45:00+05:30,0.0,30.0,SENSEX|monthly|2025-08-26,PE
5m,96,2025-07-28T13:35:00+05:30,0.0,30.0,NIFTY|weekly|2025-08-07,PE
5m,97,2025-07-28T14:45:00+05:30,0.0,30.0,SENSEX|weekly|2025-08-05,PE
5m,98,2025-07-29T10:55:00+05:30,0.0,30.0,SENSEX|monthly|2025-08-26,PE
5m,99,2025-07-29T15:30:00+05:30,0.0,-99.995,SENSEX|monthly|2025-07-29,PE
5m,100,2025-07-29T15:30:00+05:30,0.0,-82.5286,SENSEX|monthly|2025-07-29,CE
5m,101,2025-07-30T11:35:00+05:30,0.0,30.0,SENSEX|weekly|2025-08-12,CE
5m,102,2025-07-31T15:30:00+05:30,0.0,-99.9864,NIFTY|monthly|2025-07-31,PE
5m,103,2025-07-31T15:30:00+05:30,0.0,-98.1809,NIFTY|monthly|2025-07-31,CE
5m,104,2025-08-01T09:15:00+05:30,0.0,30.0,NIFTY|weekly|2025-08-14,PE
5m,105,2025-08-01T15:10:00+05:30,0.0,30.0,SENSEX|weekly|2025-08-12,PE
5m,106,2025-08-05T15:30:00+05:30,0.0,-99.9817,SENSEX|weekly|2025-08-05,CE
5m,107,2025-08-05T15:30:00+05:30,0.0,17.5321,SENSEX|weekly|2025-08-05,PE
5m,108,2025-08-07T09:15:00+05:30,0.0,30.0,NIFTY|weekly|2025-08-07,PE
5m,109,2025-08-07T09:15:00+05:30,0.0,30.0,NIFTY|weekly|2025-08-14,PE
5m,110,2025-08-07T10:30:00+05:30,0.0,30.0,SENSEX|monthly|2025-08-26,PE
5m,111,2025-08-07T10:35:00+05:30,0.0,30.0,SENSEX|weekly|2025-08-12,PE
5m,112,2025-08-07T10:35:00+05:30,0.0,30.0,SENSEX|weekly|2025-08-19,PE
5m,113,2025-08-07T15:05:00+05:30,0.0,30.0,NIFTY|weekly|2025-08-21,CE
5m,114,2025-08-07T15:30:00+05:30,0.0,-99.9422,NIFTY|weekly|2025-08-07,CE
5m,115,2025-08-08T15:15:00+05:30,0.0,30.0,NIFTY|weekly|2025-08-14,PE
5m,116,2025-08-08T15:15:00+05:30,0.0,30.0,NIFTY|weekly|2025-08-21,PE
5m,117,2025-08-08T15:15:00+05:30,0.0,30.0,SENSEX|weekly|2025-08-12,PE
