underlying,target,n_trades,win_rate,avg_ret,median_ret,avg_win,avg_loss
HDFCBANK,75,50,32.0,-14.93,-50.56,59.78,-50.09
HDFCLIFE,20,61,73.8,2.89,20,20.0,-45.22
HDFCLIFE,30,61,67.2,4.64,30,30.0,-47.35
HDFCLIFE,50,61,41.0,-9.18,-50.16,50.0,-50.28
HDFCLIFE,75,61,34.4,-7.41,-50.62,75.0,-50.67
HEROMOTOCO,20,64,82.8,6.59,20.0,19.46,-55.45
HEROMOTOCO,30,64,76.6,9.33,30.0,29.01,-54.96
HEROMOTOCO,50,64,64.1,11.03,50.0,46.74,-52.63
HEROMOTOCO,75,64,51.6,8.96,4.16,67.54,-53.39
HINDALCO,20,54,66.7,-4.74,20.0,20.0,-54.23
HINDALCO,30,54,63.0,-1.39,30.0,29.61,-54.09
HINDALCO,50,54,51.9,-1.19,23.41,48.1,-54.27
HINDALCO,75,54,44.4,1.78,-29.24,68.89,-51.9
HINDPETRO,20,55,76.4,1.3,20,20.0,-59.12
HINDPETRO,30,55,61.8,-4.2,30,29.72,-59.12
HINDPETRO,50,55,47.3,-7.3,-50.0,48.86,-57.64
HINDPETRO,75,55,40.0,-6.31,-50.32,67.86,-55.75
HINDUNILVR,20,64,75.0,0.89,20.0,19.49,-54.92
HINDUNILVR,30,64,67.2,1.52,30.0,28.97,-54.69
HINDUNILVR,50,64,54.7,1.43,50.0,47.59,-54.28
HINDUNILVR,75,64,45.3,1.09,-50.02,66.72,-53.29
HINDZINC,20,63,63.5,-6.25,20,19.62,-51.24
HINDZINC,30,63,58.7,-4.14,30,29.19,-51.57
HINDZINC,50,63,52.4,0.22,25.29,47.4,-51.68
HINDZINC,75,63,42.9,-0.6,-50.0,68.12,-52.15
HUDCO,20,61,68.9,-1.11,20,20.0,-47.79
HUDCO,30,61,57.4,-4.22,30,30.0,-50.29
HUDCO,50,61,49.2,-1.68,0.0,48.75,-50.48
HUDCO,75,61,41.0,-1.22,-50.96,70.93,-51.33
ICICIBANK,20,67,67.2,-3.42,20,20.0,-51.33
ICICIBANK,30,67,62.7,-0.37,30,30.0,-51.38
ICICIBANK,50,67,52.2,0.55,44.13,48.87,-52.29
ICICIBANK,75,67,40.3,-3.42,-50.68,70.75,-53.48
ICICIGI,20,58,63.8,-6.68,20.0,20.0,-53.69
ICICIGI,30,58,56.9,-6.17,30.0,30.0,-53.92
ICICIGI,50,58,44.8,-7.19,-50.29,49.02,-52.86
ICICIGI,75,58,36.2,-8.99,-51.3,68.78,-53.13
ICICIPRULI,20,46,65.2,-5.3,20.0,19.55,-51.9
ICICIPRULI,30,46,50.0,-10.84,3.32,28.98,-50.67
ICICIPRULI,50,46,47.8,-3.56,-6.67,48.03,-50.85
ICICIPRULI,75,46,34.8,-10.45,-51.0,66.89,-51.7
