avg_holding_minutes,avg_loss_return_pct,avg_return_delta_pct,avg_return_pct,avg_win_return_pct,group_name,kept_pct,max_return_pct,median_holding_minutes,median_return_delta_pct,median_return_pct,min_return_pct,opportunities,positive_underlyings,regime_model,score,spot_timeframe,timeframe,win_rate,win_rate_delta_pct
2442.1053,-61.1609,12.1574,9.9397,35.3327,monthly_series,43.68,191.0163,1090.0,1.072,11.8595,-99.9966,38,2,ema_alignment,35.416798,60m,5m,0.7368,5.86
90.0896,-12.8144,10.7296,2.7736,9.4068,weekly_expiry_day,28.27,10.0,34.0,0.0,10.0,-99.9508,67,2,ema_alignment,26.304792,60m,1m,0.7015,-3.27
86.9211,-13.0487,5.2099,-1.6434,9.762,weekly_expiry_day,36.19,10.0,46.5,-7.2708,2.7292,-99.6904,38,1,ema_alignment,3.908141,60m,3m,0.5,-14.76
89.5238,-7.5237,-0.4438,-1.171,7.2993,weekly_expiry_day,39.62,10.0,85.0,-10.5197,-0.5197,-23.4332,21,0,ema_alignment,-1.016661,60m,5m,0.4286,-23.18
990.7143,-63.7377,-3.7357,-6.1718,27.2536,weekly_series,42.98,196.7389,470.0,-3.217,6.6999,-99.9979,98,0,ema_alignment,-2.154144,60m,10m,0.6327,-6.03
934.2857,-65.757,-2.436,-5.9116,28.1384,weekly_series,50.28,172.3831,660.0,-1.4978,8.678,-99.9979,91,0,ema_alignment,0.234898,60m,15m,0.6374,-4.22
977.5472,-59.5451,-9.8505,-16.7721,24.4168,weekly_series,50.48,88.6329,720.0,-5.8819,0.3833,-99.9971,53,0,ema_alignment,-16.767756,60m,30m,0.5094,-9.06
1042.8626,-70.1324,-7.29,-9.2894,23.7101,weekly_series,55.32,194.6341,546.0,-1.7904,8.6852,-99.9972,182,0,ema_alignment,-5.421013,60m,3m,0.6484,-7.2
1148.6885,-72.9741,-9.9881,-8.538,26.5348,weekly_series,40.4,142.4583,607.5,-4.5901,7.8418,-99.9963,122,0,ema_alignment,-4.749768,60m,5m,0.6475,-9.09
133.0769,-40.8908,0.2749,-14.2086,8.6619,monthly_expiry_day,41.94,10.0,113.0,-9.3668,0.6332,-99.9858,26,0,macd_bias,-12.215437,60m,1m,0.5385,-10.67
108.25,-11.6409,-1.0432,2.9602,7.8272,monthly_expiry_day,52.17,10.0,84.0,0.0,10.0,-12.8432,12,2,macd_bias,17.275126,60m,3m,0.75,1.09
142.8571,-36.8334,2.2337,-11.4593,7.5713,monthly_expiry_day,53.85,10.0,150.0,0.5438,0.285,-97.6744,7,1,macd_bias,-4.313021,60m,5m,0.5714,10.99
2488.9474,-73.9106,3.2554,-4.7022,35.6694,monthly_series,50.0,158.0537,1210.0,-0.7875,8.9832,-99.998,38,0,macd_bias,1.834973,60m,10m,0.6316,1.32
2437.1053,-61.4423,3.8749,-4.6322,36.6842,monthly_series,51.35,149.5619,1282.5,-1.5126,7.4714,-99.998,38,0,macd_bias,0.633897,60m,15m,0.5789,-0.22
3140.4545,-79.856,-11.1167,-13.6238,24.2231,monthly_series,37.93,80.3803,1200.0,-4.8627,5.2041,-99.998,22,0,macd_bias,-9.958116,60m,30m,0.6364,-3.6
2805.1111,-70.0781,5.5243,2.581,35.9649,monthly_series,65.06,191.6225,1131.0,1.1422,10.5488,-99.9986,54,1,macd_bias,19.172941,60m,3m,0.6852,4.66
2451.875,-68.9373,7.7866,5.5689,33.2427,monthly_series,55.17,191.0163,1152.5,0.2049,10.9924,-99.9977,48,1,macd_bias,24.496289,60m,5m,0.7292,5.1
92.2211,-23.0323,7.58,-0.376,9.579,weekly_expiry_day,40.08,10.0,34.0,0.0,10.0,-99.9759,95,1,macd_bias,16.843569,60m,1m,0.6947,-3.95
83.9423,-18.7651,3.4154,-3.4379,9.6997,weekly_expiry_day,49.52,10.0,55.5,-1.943,8.057,-99.9681,52,0,macd_bias,2.35394,60m,3m,0.5385,-10.91
88.4615,-13.6894,-3.6667,-4.3939,8.2818,weekly_expiry_day,49.06,10.0,90.0,-10.6332,-0.6332,-97.5,26,0,macd_bias,-3.37262,60m,5m,0.4231,-23.73
935.0,-62.8232,0.5958,-1.8403,28.2838,weekly_series,54.39,196.7389,550.0,-2.2691,7.6478,-99.9979,124,0,macd_bias,5.677395,60m,10m,0.6694,-2.36
