exp,opt_type,entry_date,month,entry_time,ep,spot_poc_rev,ibr,ibr_tgt_pct,ibr_sl_pct,rA,rB,rC,reason_B,reason_C,poc_alloc
2025-10-23,PE,2025-10-17,2025-10,2025-10-17 12:55:00+05:30,56.4,False,28.0,73.8,-75.1,-99.9113,-75.08865248226951,17.8227,hard_sl,trail_stop,0.1
2025-11-06,CE,2025-10-23,2025-10,2025-10-23 12:00:00+05:30,1015.1,False,246.2,27.0,-45.8,-99.9951,-45.759038518372584,-3.9407,hard_sl,trail_stop,0.1
2025-11-06,PE,2025-10-23,2025-10,2025-10-23 13:35:00+05:30,557.1,False,204.5,63.2,-47.0,30.0,63.166397415185784,20.9034,target_hit,trail_stop,0.1
2025-11-06,PE,2025-10-24,2025-10,2025-10-24 12:50:00+05:30,855.1,True,135.6,15.0,-32.8,30.0,15.0,12.4575,target_hit,trail_stop,0.35
2025-11-06,PE,2025-10-27,2025-10,2025-10-27 13:30:00+05:30,662.8,False,196.0,46.4,-42.3,30.0,46.43180446590224,10.6788,target_hit,trail_stop,0.1
2025-11-06,PE,2025-10-28,2025-10,2025-10-28 14:10:00+05:30,815.4,False,271.4,33.2,-66.7,30.0,33.15550649987736,-0.0697,target_hit,trail_stop,0.1
2025-11-06,PE,2025-11-03,2025-11,2025-11-03 11:45:00+05:30,1086.25,False,323.3,48.0,-41.3,30.0,47.99539700805523,30.7404,target_hit,trail_stop,0.1
2025-11-06,PE,2025-11-06,2025-11,2025-11-06 09:45:00+05:30,1410.0,True,0.0,30.0,-50.0,19.6454,19.6454,19.6454,end,end,0.35
2025-11-13,CE,2025-10-31,2025-10,2025-10-31 09:40:00+05:30,769.35,False,0.0,30.0,-50.0,-99.9935,-99.9935,-99.9935,end,end,0.1
2025-11-13,PE,2025-10-30,2025-10,2025-10-30 12:20:00+05:30,731.4,False,128.6,18.8,-34.0,30.0,18.758545255674054,-2.7233,target_hit,trail_stop,0.1
2025-11-13,PE,2025-11-03,2025-11,2025-11-03 11:55:00+05:30,1032.95,True,189.8,30.2,-24.9,30.0,30.190231860206197,16.4439,target_hit,trail_stop,0.35
2025-11-13,PE,2025-11-06,2025-11,2025-11-06 14:05:00+05:30,1380.1,False,265.2,15.0,-43.9,30.0,15.0,12.2396,target_hit,trail_stop,0.1
2025-11-13,PE,2025-11-10,2025-11,2025-11-10 13:55:00+05:30,1150.0,True,143.2,32.3,-5.1,30.0,-5.060869565217396,-5.0609,hard_sl,hard_sl_ibr,0.35
2025-11-13,PE,2025-11-12,2025-11,2025-11-12 15:25:00+05:30,366.0,False,220.0,137.7,-42.6,30.0,-42.62295081967213,-42.623,hard_sl,hard_sl_ibr,0.1
2025-11-13,PE,2025-11-13,2025-11,2025-11-13 14:10:00+05:30,314.8,True,277.2,162.1,-80.0,1.8742,1.8742,1.8742,end,hold_to_end,0.35
2025-11-20,CE,2025-11-06,2025-11,2025-11-06 13:05:00+05:30,807.0,False,214.7,39.7,-40.2,30.0,-40.1548946716233,-40.1549,hard_sl,hard_sl_ibr,0.1
2025-11-20,CE,2025-11-13,2025-11,2025-11-13 10:40:00+05:30,1232.6,False,167.4,15.0,-34.3,30.0,15.0,-0.2818,target_hit,trail_stop,0.1
2025-11-20,PE,2025-11-06,2025-11,2025-11-06 14:00:00+05:30,740.0,False,0.0,30.0,-50.0,30.0,30.0,30.0,target_hit,target_hit,0.1
2025-11-20,PE,2025-11-10,2025-11,2025-11-10 15:05:00+05:30,533.8,False,137.0,60.2,-16.8,30.0,-16.766579243162237,31.091,hard_sl,trail_stop,0.1
2025-11-20,PE,2025-11-13,2025-11,2025-11-13 09:15:00+05:30,224.55,False,0.0,30.0,-50.0,30.0,30.0,30.0,target_hit,target_hit,0.1
